date,gowork,leaveoffice,timediff
2021-01-01,,,
2021-01-02,,,
2021-01-03,,,
2021-01-04,,,
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-09,,,
2021-01-10,,,
2021-01-11,,,
2021-01-12,,,
2021-01-13,,,
2021-01-14,,,
2021-01-15,1900-01-01 23:59:17,,
2021-01-16,07:53:22,23:10:08,916.7666666666667
2021-01-17,,,
2021-01-18,23:11:42,23:20:55,9.216666666666667
2021-01-19,,,
2021-01-20,,,
2021-01-21,,,
2021-01-22,,,
2021-01-23,,,
2021-01-24,,,
2021-01-25,,,
2021-01-26,,,
2021-01-27,,,
2021-01-28,,,
2021-01-29,,,
2021-01-30,,,
2021-01-31,,,
